iter	Passed	Remaining
0	2	2649
1	5	2983
2	9	2992
3	11	2962
4	14	2941
5	17	2968
6	30	4387
7	32	4080
8	34	3844
9	36	3649
10	38	3502
11	41	3376
12	43	3264
13	45	3188
14	47	3126
15	50	3076
16	52	3031
17	54	2997
18	57	2962
19	59	2919
20	62	2891
21	64	2859
22	66	2823
23	68	2792
24	70	2760
25	73	2747
26	75	2733
27	78	2716
28	80	2688
29	82	2671
30	84	2634
31	86	2611
32	88	2593
33	91	2588
34	93	2583
35	96	2579
36	98	2569
37	100	2556
38	103	2543
39	105	2536
40	108	2532
41	110	2519
42	112	2509
43	115	2508
44	118	2504
45	120	2494
46	122	2481
47	124	2474
48	127	2470
49	129	2460
50	131	2451
51	133	2441
52	136	2431
53	138	2429
54	140	2419
55	142	2408
56	144	2398
57	147	2392
58	149	2384
59	151	2374
60	154	2371
61	156	2366
62	159	2365
63	161	2362
64	163	2357
65	166	2356
66	169	2356
67	171	2351
68	174	2348
69	176	2342
70	178	2336
71	181	2335
72	183	2329
73	185	2324
74	187	2318
75	190	2317
76	192	2310
77	194	2303
78	196	2296
79	199	2291
80	201	2290
81	204	2286
82	206	2281
83	209	2279
84	211	2274
85	214	2274
86	216	2270
87	218	2268
88	221	2265
89	223	2261
90	226	2258
91	228	2255
92	230	2252
93	233	2248
94	235	2246
95	237	2240
96	240	2236
97	242	2231
98	244	2228
99	247	2225
100	249	2222
101	252	2219
102	254	2215
103	256	2212
104	259	2208
105	261	2205
106	263	2201
107	266	2197
108	268	2194
109	270	2189
110	272	2186
111	275	2181
112	277	2176
113	279	2172
114	281	2167
115	284	2165
116	286	2161
117	288	2159
118	291	2157
119	293	2155
120	296	2154
121	299	2151
122	301	2148
123	303	2145
124	306	2142
125	308	2138
126	310	2135
127	312	2131
128	315	2127
129	317	2123
130	319	2120
131	321	2116
132	324	2112
133	326	2108
134	328	2104
135	330	2100
136	333	2098
137	335	2097
138	338	2094
139	340	2091
140	342	2087
141	344	2084
142	347	2080
143	349	2077
144	351	2073
145	354	2072
146	356	2070
147	359	2067
148	361	2063
149	363	2061
150	366	2059
151	368	2055
152	370	2052
153	373	2049
154	375	2046
155	377	2042
156	379	2038
157	382	2036
158	384	2033
159	387	2032
160	389	2031
161	392	2029
162	394	2026
163	397	2023
164	399	2020
165	401	2018
166	403	2015
167	406	2011
168	408	2008
169	410	2005
170	412	2001
171	414	1997
172	417	1994
173	419	1992
174	422	1990
175	424	1987
176	426	1984
177	429	1982
178	431	1980
179	433	1976
180	436	1973
181	438	1970
182	441	1968
183	443	1967
184	445	1964
185	448	1962
186	450	1958
187	452	1956
188	455	1953
189	457	1952
190	460	1948
191	462	1947
192	465	1945
193	467	1943
194	469	1940
195	472	1937
196	474	1934
197	476	1931
198	479	1929
199	481	1926
200	483	1923
201	486	1921
202	488	1919
203	491	1916
204	493	1913
205	496	1912
206	498	1908
207	500	1905
208	502	1902
209	505	1900
210	507	1898
211	510	1896
212	512	1893
213	514	1890
214	517	1888
215	519	1885
216	521	1882
217	523	1879
218	526	1877
219	528	1874
220	530	1871
221	533	1868
222	535	1866
223	537	1863
224	540	1861
225	542	1858
226	545	1856
227	547	1853
228	549	1850
229	552	1848
230	554	1847
231	557	1844
232	559	1842
233	561	1839
234	564	1836
