iter	Passed	Remaining
0	146	29086
1	160	15853
2	162	10677
3	164	8079
4	167	6521
5	169	5483
6	172	4743
7	174	4180
8	176	3746
9	178	3400
10	181	3115
11	183	2877
12	186	2676
13	188	2504
14	190	2354
15	193	2223
16	195	2105
17	197	1998
18	199	1900
19	202	1818
20	204	1742
21	206	1672
22	208	1607
23	211	1548
24	213	1495
25	216	1447
26	218	1401
27	221	1357
28	223	1319
29	226	1282
30	228	1246
31	230	1212
32	233	1181
33	235	1151
34	238	1123
35	240	1097
36	243	1071
37	245	1048
38	248	1025
39	250	1003
40	253	982
41	256	963
42	258	944
43	260	924
44	263	906
45	265	889
46	267	872
47	270	855
48	272	839
49	274	824
50	277	810
51	279	796
52	282	782
53	284	768
54	286	755
55	289	743
56	291	732
57	294	720
58	297	709
59	299	699
60	301	688
61	304	677
62	306	666
63	308	656
64	310	645
65	313	635
66	315	626
67	318	617
68	320	608
69	323	600
70	325	592
71	328	583
72	331	576
73	333	567
74	335	559
75	338	552
76	341	544
77	343	537
78	345	529
79	348	522
80	350	515
81	353	508
82	355	501
83	358	494
84	360	487
85	363	481
86	365	474
87	367	468
88	370	461
89	372	455
90	375	449
91	377	443
92	380	437
93	382	431
94	384	425
95	387	419
96	389	413
97	391	407
98	394	402
99	396	396
100	398	390
101	401	385
102	403	380
103	406	374
104	408	369
105	410	364
106	412	358
107	415	353
108	417	348
109	419	343
110	421	338
111	424	333
112	426	328
113	428	323
114	430	318
115	433	313
116	435	308
117	437	304
118	440	299
119	442	295
120	444	290
121	447	285
122	449	281
123	451	276
124	453	272
125	456	267
126	458	263
127	460	259
128	463	255
129	465	250
130	468	246
131	470	242
132	472	238
133	475	234
134	477	229
135	480	225
136	482	221
137	484	217
138	487	213
139	489	209
140	492	205
141	494	202
142	497	198
143	499	194
144	502	190
145	504	186
146	506	182
147	509	178
148	511	175
149	514	171
150	516	167
151	519	164
152	521	160
153	524	156
154	527	153
155	529	149
156	531	145
157	534	141
158	536	138
159	538	134
160	540	130
161	542	127
162	545	123
163	547	120
164	549	116
165	552	113
166	554	109
167	557	106
168	559	102
169	562	99
170	564	95
171	567	92
172	570	88
173	572	85
174	575	82
175	577	78
176	580	75
177	582	72
178	585	68
179	587	65
180	590	61
181	592	58
182	594	55
183	596	51
184	598	48
185	600	45
186	603	41
187	605	38
188	607	35
189	609	32
190	612	28
191	614	25
192	616	22
193	618	19
194	621	15
195	623	12
196	626	9
197	628	6
198	631	3
199	633	0
